"","target","synset","t","correct_by_maxcorr","correct_by_minp","correct_by_majorityvote","correct_by_avg"
"lubricious.s.02.salacious.1896.-1",salacious,lubricious.s.02,1896,NA,NA,NA,NA
"ungrateful.a.01.thankless.1896.-1",thankless,ungrateful.a.01,1896,NA,NA,NA,NA
"relax.v.01.unbend.1896.-1",unbend,relax.v.01,1896,NA,NA,NA,NA
"relax.v.02.unbend.1896.-1",unbend,relax.v.02,1896,NA,NA,NA,NA
"irreconcilable.a.01.unreconcilable.1896.-1",unreconcilable,irreconcilable.a.01,1896,NA,NA,NA,NA
"jingle.v.01.jingle-jangle.1898.-1",jingle-jangle,jingle.v.01,1898,NA,NA,NA,NA
"startle.v.02.jump.1898.-1",jump,startle.v.02,1898,1,1,1,NA
"attest.v.01.manifest.1898.-1",manifest,attest.v.01,1898,1,1,1,0
"center.s.01.midway.1898.-1",midway,center.s.01,1898,NA,NA,NA,NA
"disgust.v.01.revolt.1898.-1",revolt,disgust.v.01,1898,1,1,1,NA
"disgust.v.02.revolt.1898.-1",revolt,disgust.v.02,1898,1,1,1,NA
"boring.s.01.tedious.1898.-1",tedious,boring.s.01,1898,0,0,0,0
"sneaky.s.01.underhanded.1898.-1",underhanded,sneaky.s.01,1898,NA,NA,NA,NA
"underhand.a.01.underhanded.1898.-1",underhanded,underhand.a.01,1898,NA,NA,NA,NA
"unmanageable.a.02.unmanageable.1898.-1",unmanageable,unmanageable.a.02,1898,NA,NA,NA,NA
"chapped.s.01.chapped.1900.-1",chapped,chapped.s.01,1900,NA,NA,NA,NA
"lend.v.02.loan.1900.-1",loan,lend.v.02,1900,NA,NA,NA,NA
"measured.s.02.metric.1900.-1",metric,measured.s.02,1900,NA,NA,NA,NA
"metric.a.01.metric.1900.-1",metric,metric.a.01,1900,NA,NA,NA,NA
"splash.v.05.slush.1900.-1",slush,splash.v.05,1900,NA,NA,NA,NA
"total.v.02.summate.1900.-1",summate,total.v.02,1900,NA,NA,NA,NA
"moor.v.02.wharf.1900.-1",wharf,moor.v.02,1900,0,1,0,1
"attend.v.02.look.1902.-1",look,attend.v.02,1902,0,0,0,0
"callously.r.01.unfeelingly.1902.-1",unfeelingly,callously.r.01,1902,NA,NA,NA,NA
"revert.v.01.revert.1904.-1",revert,revert.v.01,1904,NA,NA,NA,NA
"utter.v.02.utter.1904.-1",utter,utter.v.02,1904,NA,NA,NA,NA
"attract.v.02.appeal.1906.-1",appeal,attract.v.02,1906,NA,NA,NA,NA
"precisely.r.01.precisely.1906.-1",precisely,precisely.r.01,1906,0,1,0,1
"precisely.r.02.precisely.1906.-1",precisely,precisely.r.02,1906,0,0,0,NA
"precisely.r.03.precisely.1906.-1",precisely,precisely.r.03,1906,0,0,0,NA
"aflare.s.01.aflare.1908.-1",aflare,aflare.s.01,1908,NA,NA,NA,NA
"transport.v.04.ship.1910.-1",ship,transport.v.04,1910,0,0,0,0
"transfigure.v.01.transfigure.1910.-1",transfigure,transfigure.v.01,1910,NA,NA,NA,NA
"corrupt.v.01.subvert.1914.-1",subvert,corrupt.v.01,1914,NA,NA,NA,NA
"bombard.v.03.barrage.1916.-1",barrage,bombard.v.03,1916,NA,NA,NA,NA
"digest.v.03.bear.1916.-1",bear,digest.v.03,1916,0,1,1,0
"close.r.02.tight.1918.-1",tight,close.r.02,1918,0,1,0,1
"multinational.s.01.transnational.1920.-1",transnational,multinational.s.01,1920,NA,NA,NA,NA
"capsize.v.01.turtle.1920.-1",turtle,capsize.v.01,1920,NA,NA,NA,NA
"depreciate.v.03.devaluate.1924.-1",devaluate,depreciate.v.03,1924,NA,NA,NA,NA
"devalue.v.01.devaluate.1924.-1",devaluate,devalue.v.01,1924,NA,NA,NA,NA
"prohibitive.s.01.prohibitory.1924.-1",prohibitory,prohibitive.s.01,1924,NA,NA,NA,NA
"recumb.v.01.recumb.1924.-1",recumb,recumb.v.01,1924,NA,NA,NA,NA
"bind.v.02.tie.1924.-1",tie,bind.v.02,1924,0,0,0,0
"tie.v.01.tie.1924.-1",tie,tie.v.01,1924,NA,NA,NA,NA
"bouncy.s.01.bouncy.1926.-1",bouncy,bouncy.s.01,1926,NA,NA,NA,NA
"base.s.02.lowly.1926.-1",lowly,base.s.02,1926,1,1,1,1
"humble.s.01.lowly.1926.-1",lowly,humble.s.01,1926,1,1,1,1
"humble.s.03.lowly.1926.-1",lowly,humble.s.03,1926,1,1,1,NA
"transport.v.04.ship.1926.-1",ship,transport.v.04,1926,0,1,0,0
"harmonize.v.01.agree.1928.-1",agree,harmonize.v.01,1928,0,0,0,NA
"embezzle.v.01.malversate.1928.-1",malversate,embezzle.v.01,1928,NA,NA,NA,NA
"periodic.a.01.periodic.1930.-1",periodic,periodic.a.01,1930,NA,NA,NA,NA
"appeasing.s.01.placative.1930.-1",placative,appeasing.s.01,1930,NA,NA,NA,NA
"read.v.08.register.1930.-1",register,read.v.08,1930,0,0,0,1
"record.v.04.register.1930.-1",register,record.v.04,1930,NA,NA,NA,NA
"spatter.v.01.splosh.1930.-1",splosh,spatter.v.01,1930,NA,NA,NA,NA
"splash.v.05.splosh.1930.-1",splosh,splash.v.05,1930,NA,NA,NA,NA
"sprinkle.v.02.splosh.1930.-1",splosh,sprinkle.v.02,1930,NA,NA,NA,NA
"squelch.v.03.splosh.1930.-1",splosh,squelch.v.03,1930,NA,NA,NA,NA
"burp.v.01.bubble.1942.-1",bubble,burp.v.01,1942,NA,NA,NA,NA
"tarnish.v.01.maculate.1944.-1",maculate,tarnish.v.01,1944,NA,NA,NA,NA
"iron.v.01.iron.1946.-1",iron,iron.v.01,1946,1,1,1,NA
"dipped.s.01.swayback.1946.-1",swayback,dipped.s.01,1946,NA,NA,NA,NA
"chew_the_fat.v.01.confab.1948.-1",confab,chew_the_fat.v.01,1948,NA,NA,NA,NA
"confused.s.03.disoriented.1950.-1",disoriented,confused.s.03,1950,NA,NA,NA,NA
"plagiarize.v.01.lift.1950.-1",lift,plagiarize.v.01,1950,NA,NA,NA,NA
"jeer.v.01.barrack.1954.-1",barrack,jeer.v.01,1954,NA,NA,NA,NA
"bid.v.04.call.1958.-1",call,bid.v.04,1958,NA,NA,NA,NA
"arduous.s.01.operose.1958.-1",operose,arduous.s.01,1958,NA,NA,NA,NA
"ahead.r.01.ahead.1900.1",ahead,ahead.r.01,1900,0,0,0,NA
"ahead.r.04.ahead.1900.1",ahead,ahead.r.04,1900,1,1,1,NA
"check.v.18.check.1900.1",check,check.v.18,1900,1,0,0,0
"cautious.s.02.conservative.1900.1",conservative,cautious.s.02,1900,NA,NA,NA,NA
"disintegrate.v.03.disintegrate.1900.1",disintegrate,disintegrate.v.03,1900,NA,NA,NA,NA
"compare.v.03.equate.1900.1",equate,compare.v.03,1900,NA,NA,NA,NA
"familial.s.02.familial.1900.1",familial,familial.s.02,1900,NA,NA,NA,NA
"fracture.v.06.fracture.1900.1",fracture,fracture.v.06,1900,NA,NA,NA,NA
"pass.v.05.hand.1900.1",hand,pass.v.05,1900,0,0,0,0
"restrain.v.03.hold.1900.1",hold,restrain.v.03,1900,1,1,0,1
"homocyclic.s.01.isocyclic.1900.1",isocyclic,homocyclic.s.01,1900,NA,NA,NA,NA
"measured.s.02.metric.1900.1",metric,measured.s.02,1900,NA,NA,NA,NA
"metric.a.01.metric.1900.1",metric,metric.a.01,1900,NA,NA,NA,NA
"mouth-watering.s.01.mouth-watering.1900.1",mouth-watering,mouth-watering.s.01,1900,NA,NA,NA,NA
"matter-of-fact.s.02.pragmatical.1900.1",pragmatical,matter-of-fact.s.02,1900,NA,NA,NA,NA
"pragmatic.a.02.pragmatical.1900.1",pragmatical,pragmatic.a.02,1900,NA,NA,NA,NA
"splash.v.05.slush.1900.1",slush,splash.v.05,1900,NA,NA,NA,NA
"total.v.02.summate.1900.1",summate,total.v.02,1900,NA,NA,NA,NA
"ace.s.01.top-notch.1900.1",top-notch,ace.s.01,1900,NA,NA,NA,NA
"referee.v.01.umpire.1900.1",umpire,referee.v.01,1900,NA,NA,NA,NA
"basically.r.01.basically.1902.1",basically,basically.r.01,1902,NA,NA,NA,NA
"countable.s.01.denumerable.1902.1",denumerable,countable.s.01,1902,NA,NA,NA,NA
"botch.v.01.fluff.1902.1",fluff,botch.v.01,1902,NA,NA,NA,NA
"halt.v.01.hold.1902.1",hold,halt.v.01,1902,1,1,1,1
"squash.v.01.mash.1902.1",mash,squash.v.01,1902,NA,NA,NA,NA
"alter.v.05.neuter.1902.1",neuter,alter.v.05,1902,NA,NA,NA,NA
"anneal.v.01.normalize.1902.1",normalize,anneal.v.01,1902,NA,NA,NA,NA
"arrant.s.01.perfect.1902.1",perfect,arrant.s.01,1902,1,1,0,0
"victimize.v.03.short-change.1902.1",short-change,victimize.v.03,1902,NA,NA,NA,NA
"brainsick.s.01.disturbed.1904.1",disturbed,brainsick.s.01,1904,1,0,0,1
"autochthonal.s.01.endemic.1904.1",endemic,autochthonal.s.01,1904,NA,NA,NA,NA
"write.v.01.pen.1904.1",pen,write.v.01,1904,0,0,0,0
"publish.v.02.release.1904.1",release,publish.v.02,1904,1,1,1,1
"sabbatical.a.01.sabbatic.1904.1",sabbatic,sabbatical.a.01,1904,NA,NA,NA,NA
"effeminate.s.01.sissified.1904.1",sissified,effeminate.s.01,1904,NA,NA,NA,NA
"bankrupt.v.01.smash.1904.1",smash,bankrupt.v.01,1904,1,0,0,0
"spatter.v.01.splosh.1904.1",splosh,spatter.v.01,1904,NA,NA,NA,NA
"splash.v.05.splosh.1904.1",splosh,splash.v.05,1904,NA,NA,NA,NA
"sprinkle.v.02.splosh.1904.1",splosh,sprinkle.v.02,1904,NA,NA,NA,NA
"squelch.v.03.splosh.1904.1",splosh,squelch.v.03,1904,NA,NA,NA,NA
"teeter.v.01.teeter.1904.1",teeter,teeter.v.01,1904,NA,NA,NA,NA
"give_birth.v.01.birth.1906.1",birth,give_birth.v.01,1906,1,1,1,1
"concenter.v.01.focalise.1906.1",focalise,concenter.v.01,1906,NA,NA,NA,NA
"focus.v.04.focalise.1906.1",focalise,focus.v.04,1906,NA,NA,NA,NA
"focus.v.05.focalise.1906.1",focalise,focus.v.05,1906,NA,NA,NA,NA
"localize.v.02.focalise.1906.1",focalise,localize.v.02,1906,NA,NA,NA,NA
"transplant.v.03.transplant.1906.1",transplant,transplant.v.03,1906,NA,NA,NA,NA
"aflare.s.01.aflare.1908.1",aflare,aflare.s.01,1908,NA,NA,NA,NA
"analyze.v.04.analyse.1908.1",analyse,analyze.v.04,1908,NA,NA,NA,NA
"blue-white.s.01.blue-white.1908.1",blue-white,blue-white.s.01,1908,NA,NA,NA,NA
"unusually.r.01.outstandingly.1908.1",outstandingly,unusually.r.01,1908,NA,NA,NA,NA
"annoyed.s.01.peeved.1908.1",peeved,annoyed.s.01,1908,NA,NA,NA,NA
"disgusting.s.01.foul.1910.1",foul,disgusting.s.01,1910,1,1,0,1
"mean.s.06.mingy.1910.1",mingy,mean.s.06,1910,NA,NA,NA,NA
"appeasing.s.01.placating.1910.1",placating,appeasing.s.01,1910,NA,NA,NA,NA
"flustered.s.01.rattled.1910.1",rattled,flustered.s.01,1910,NA,NA,NA,NA
"transport.v.04.ship.1910.1",ship,transport.v.04,1910,1,1,0,1
"bathetic.s.01.soppy.1910.1",soppy,bathetic.s.01,1910,NA,NA,NA,NA
"ill-fed.s.01.undernourished.1910.1",undernourished,ill-fed.s.01,1910,NA,NA,NA,NA
"hurt.v.05.bruise.1912.1",bruise,hurt.v.05,1912,1,0,0,0
"certifiable.s.01.certifiable.1912.1",certifiable,certifiable.s.01,1912,NA,NA,NA,NA
"detached.s.02.detached.1912.1",detached,detached.s.02,1912,1,1,1,1
"detached.s.03.detached.1912.1",detached,detached.s.03,1912,NA,NA,NA,NA
"holier-than-thou.s.01.holier-than-thou.1912.1",holier-than-thou,holier-than-thou.s.01,1912,NA,NA,NA,NA
"engage.v.10.mesh.1912.1",mesh,engage.v.10,1912,NA,NA,NA,NA
"show.v.01.show.1912.1",show,show.v.01,1912,1,1,0,1
"forbidden.s.01.verboten.1912.1",verboten,forbidden.s.01,1912,NA,NA,NA,NA
"ring.v.06.band.1914.1",band,ring.v.06,1914,NA,NA,NA,NA
"disabled.s.01.handicapped.1914.1",handicapped,disabled.s.01,1914,NA,NA,NA,NA
"induce.v.03.rush.1914.1",rush,induce.v.03,1914,0,0,0,0
"rush.v.01.rush.1914.1",rush,rush.v.01,1914,0,0,0,0
"rush.v.03.rush.1914.1",rush,rush.v.03,1914,NA,NA,NA,NA
"rush.v.04.rush.1914.1",rush,rush.v.04,1914,1,0,0,0
"skid.v.04.slew.1914.1",slew,skid.v.04,1914,1,1,1,1
"regretful.a.01.sorry.1914.1",sorry,regretful.a.01,1914,1,1,1,NA
"awkward.s.05.sticky.1914.1",sticky,awkward.s.05,1914,NA,NA,NA,NA
"stomp.v.01.stomp.1914.1",stomp,stomp.v.01,1914,NA,NA,NA,NA
"see.v.05.view.1914.1",view,see.v.05,1914,1,1,0,1
"watch.v.03.view.1914.1",view,watch.v.03,1914,1,1,1,1
"bombard.v.03.barrage.1916.1",barrage,bombard.v.03,1916,NA,NA,NA,NA
"hex.v.01.jinx.1916.1",jinx,hex.v.01,1916,NA,NA,NA,NA
"cardinal.s.01.key.1916.1",key,cardinal.s.01,1916,1,1,1,1
"panicky.s.01.panicked.1916.1",panicked,panicky.s.01,1916,NA,NA,NA,NA
"film.v.01.shoot.1916.1",shoot,film.v.01,1916,1,1,0,1
"film.v.01.take.1916.1",take,film.v.01,1916,1,1,0,0
"improvise.v.01.ad-lib.1918.1",ad-lib,improvise.v.01,1918,NA,NA,NA,NA
"bombard.v.03.barrage.1918.1",barrage,bombard.v.03,1918,NA,NA,NA,NA
"imbecile.s.01.imbecilic.1918.1",imbecilic,imbecile.s.01,1918,NA,NA,NA,NA
"seduce.v.01.make.1918.1",make,seduce.v.01,1918,0,0,0,NA
"tease.v.02.ride.1918.1",ride,tease.v.02,1918,0,0,0,1
"supersonic.s.02.supersonic.1918.1",supersonic,supersonic.s.02,1918,NA,NA,NA,NA
"switch.v.03.switch.1918.1",switch,switch.v.03,1918,1,1,0,1
"amphibious.a.01.amphibian.1920.1",amphibian,amphibious.a.01,1920,NA,NA,NA,NA
"dried.s.02.dehydrated.1920.1",dehydrated,dried.s.02,1920,NA,NA,NA,NA
"visualize.v.01.envision.1920.1",envision,visualize.v.01,1920,NA,NA,NA,NA
"doddering.s.01.gaga.1920.1",gaga,doddering.s.01,1920,NA,NA,NA,NA
"bumpkinly.s.01.hick.1920.1",hick,bumpkinly.s.01,1920,NA,NA,NA,NA
"run.v.06.run.1920.1",run,run.v.06,1920,1,1,0,1
"multinational.s.01.transnational.1920.1",transnational,multinational.s.01,1920,NA,NA,NA,NA
"capsize.v.01.turtle.1920.1",turtle,capsize.v.01,1920,NA,NA,NA,NA
"intelligibly.r.01.understandably.1920.1",understandably,intelligibly.r.01,1920,NA,NA,NA,NA
"promote.v.02.upgrade.1920.1",upgrade,promote.v.02,1920,NA,NA,NA,NA
"try.v.01.assay.1922.1",assay,try.v.01,1922,NA,NA,NA,NA
"absurd.s.02.derisory.1922.1",derisory,absurd.s.02,1922,NA,NA,NA,NA
"nymphomaniacal.s.01.nymphomaniacal.1922.1",nymphomaniacal,nymphomaniacal.s.01,1922,NA,NA,NA,NA
"pointillist.s.01.pointillistic.1922.1",pointillistic,pointillist.s.01,1922,NA,NA,NA,NA
"deadpan.s.01.poker-faced.1922.1",poker-faced,deadpan.s.01,1922,NA,NA,NA,NA
"apologize.v.02.rationalize.1922.1",rationalize,apologize.v.02,1922,NA,NA,NA,NA
"duplicate.v.01.replicate.1922.1",replicate,duplicate.v.01,1922,NA,NA,NA,NA
"reduce.v.20.slenderize.1922.1",slenderize,reduce.v.20,1922,NA,NA,NA,NA
"aglitter.s.01.sparkly.1922.1",sparkly,aglitter.s.01,1922,NA,NA,NA,NA
"total.v.02.summate.1922.1",summate,total.v.02,1922,NA,NA,NA,NA
"try.v.01.try.1922.1",try,try.v.01,1922,1,0,1,0
"vacuum.v.01.vacuum.1922.1",vacuum,vacuum.v.01,1922,NA,NA,NA,NA
"water-repellent.s.01.water-repellent.1922.1",water-repellent,water-repellent.s.01,1922,NA,NA,NA,NA
"harsh.s.06.abrasive.1924.1",abrasive,harsh.s.06,1924,NA,NA,NA,NA
"prohibitive.s.01.prohibitory.1924.1",prohibitory,prohibitive.s.01,1924,NA,NA,NA,NA
"apologize.v.02.rationalize.1924.1",rationalize,apologize.v.02,1924,NA,NA,NA,NA
"curative.s.01.remedial.1924.1",remedial,curative.s.01,1924,NA,NA,NA,NA
"vomit.v.01.sick.1924.1",sick,vomit.v.01,1924,1,1,0,0
"anneal.v.01.temper.1924.1",temper,anneal.v.01,1924,NA,NA,NA,NA
"temper.v.02.temper.1924.1",temper,temper.v.02,1924,NA,NA,NA,NA
"viricidal.a.01.virucidal.1924.1",virucidal,viricidal.a.01,1924,NA,NA,NA,NA
"improvise.v.01.ad-lib.1926.1",ad-lib,improvise.v.01,1926,NA,NA,NA,NA
"bleary.s.01.bleary-eyed.1926.1",bleary-eyed,bleary.s.01,1926,NA,NA,NA,NA
"bouncy.s.01.bouncy.1926.1",bouncy,bouncy.s.01,1926,NA,NA,NA,NA
"cannulate.v.01.cannulate.1926.1",cannulate,cannulate.v.01,1926,NA,NA,NA,NA
"excusably.r.01.forgivably.1926.1",forgivably,excusably.r.01,1926,NA,NA,NA,NA
"isochronal.s.01.isochronal.1926.1",isochronal,isochronal.s.01,1926,NA,NA,NA,NA
"mod.s.01.modernistic.1926.1",modernistic,mod.s.01,1926,NA,NA,NA,NA
"outwit.v.01.outsmart.1926.1",outsmart,outwit.v.01,1926,NA,NA,NA,NA
"recycle.v.02.recycle.1926.1",recycle,recycle.v.02,1926,NA,NA,NA,NA
"function.v.01.run.1926.1",run,function.v.01,1926,1,1,1,1
"operate.v.01.run.1926.1",run,operate.v.01,1926,NA,NA,NA,NA
"read.v.04.scan.1926.1",scan,read.v.04,1926,NA,NA,NA,NA
"skittish.s.01.spooky.1926.1",spooky,skittish.s.01,1926,NA,NA,NA,NA
"built-in.s.01.built-in.1928.1",built-in,built-in.s.01,1928,NA,NA,NA,NA
"cerebral.a.01.cerebral.1928.1",cerebral,cerebral.a.01,1928,NA,NA,NA,NA
"think.v.03.cerebrate.1928.1",cerebrate,think.v.03,1928,NA,NA,NA,NA
"chartered.a.01.chartered.1928.1",chartered,chartered.a.01,1928,NA,NA,NA,NA
"match.v.01.check.1928.1",check,match.v.01,1928,1,0,1,1
"everywhere.r.01.everyplace.1928.1",everyplace,everywhere.r.01,1928,NA,NA,NA,NA
"electrocute.v.02.fry.1928.1",fry,electrocute.v.02,1928,NA,NA,NA,NA
"listen.v.02.listen.1928.1",listen,listen.v.02,1928,0,0,0,NA
"boorish.s.01.neanderthal.1928.1",neanderthal,boorish.s.01,1928,NA,NA,NA,NA
"bespeak.v.01.point.1928.1",point,bespeak.v.01,1928,1,0,0,0
"indicate.v.02.point.1928.1",point,indicate.v.02,1928,0,0,0,0
"make-believe.s.01.pretend.1928.1",pretend,make-believe.s.01,1928,NA,NA,NA,NA
"propitiative.s.01.propitiative.1928.1",propitiative,propitiative.s.01,1928,NA,NA,NA,NA
"print.v.01.publish.1928.1",publish,print.v.01,1928,NA,NA,NA,NA
"conceited.s.01.swollen-headed.1928.1",swollen-headed,conceited.s.01,1928,NA,NA,NA,NA
"dry.s.02.wry.1928.1",wry,dry.s.02,1928,0,0,0,NA
"amphoteric.a.01.amphiprotic.1930.1",amphiprotic,amphoteric.a.01,1930,NA,NA,NA,NA
"effeminate.s.01.cissy.1930.1",cissy,effeminate.s.01,1930,NA,NA,NA,NA
"dilute.v.01.cut.1930.1",cut,dilute.v.01,1930,1,1,0,0
"grade.v.03.grade.1930.1",grade,grade.v.03,1930,1,1,0,0
"judder.v.01.judder.1930.1",judder,judder.v.01,1930,NA,NA,NA,NA
"squash.v.01.mash.1930.1",mash,squash.v.01,1930,NA,NA,NA,NA
"approve.v.01.okay.1930.1",okay,approve.v.01,1930,0,0,0,NA
"function.v.01.operate.1930.1",operate,function.v.01,1930,1,1,1,1
"appeasing.s.01.placative.1930.1",placative,appeasing.s.01,1930,NA,NA,NA,NA
"advertise.v.02.promote.1930.1",promote,advertise.v.02,1930,1,1,1,NA
"naked.s.04.raw.1930.1",raw,naked.s.04,1930,NA,NA,NA,NA
"vomit.v.01.sick.1930.1",sick,vomit.v.01,1930,1,1,0,1
"spatter.v.01.splatter.1930.1",splatter,spatter.v.01,1930,NA,NA,NA,NA
"spatter.v.01.splosh.1930.1",splosh,spatter.v.01,1930,NA,NA,NA,NA
"splash.v.05.splosh.1930.1",splosh,splash.v.05,1930,NA,NA,NA,NA
"sprinkle.v.02.splosh.1930.1",splosh,sprinkle.v.02,1930,NA,NA,NA,NA
"squelch.v.03.splosh.1930.1",splosh,squelch.v.03,1930,NA,NA,NA,NA
"trace.v.01.trace.1930.1",trace,trace.v.01,1930,NA,NA,NA,NA
"trip.v.04.trigger.1930.1",trigger,trip.v.04,1930,1,0,0,0
"make.v.49.wee-wee.1930.1",wee-wee,make.v.49,1930,NA,NA,NA,NA
"give_birth.v.01.born.1932.1",born,give_birth.v.01,1932,1,0,1,1
"break.v.02.break.1932.1",break,break.v.02,1932,0,0,0,NA
"separate.v.08.break.1932.1",break,separate.v.08,1932,1,1,0,0
"burp.v.01.burp.1932.1",burp,burp.v.01,1932,NA,NA,NA,NA
"lease.v.04.charter.1932.1",charter,lease.v.04,1932,NA,NA,NA,NA
"rent.v.04.charter.1932.1",charter,rent.v.04,1932,NA,NA,NA,NA
"daily.s.01.day-to-day.1932.1",day-to-day,daily.s.01,1932,NA,NA,NA,NA
"craftily.r.01.foxily.1932.1",foxily,craftily.r.01,1932,NA,NA,NA,NA
"hex.v.01.hex.1932.1",hex,hex.v.01,1932,NA,NA,NA,NA
"costly.s.02.pricey.1932.1",pricey,costly.s.02,1932,NA,NA,NA,NA
"kidnap.v.01.snatch.1932.1",snatch,kidnap.v.01,1932,NA,NA,NA,NA
"big.s.11.big.1934.1",big,big.s.11,1934,0,0,0,NA
"drop_the_ball.v.01.boob.1934.1",boob,drop_the_ball.v.01,1934,NA,NA,NA,NA
"elaborate.v.01.elaborate.1934.1",elaborate,elaborate.v.01,1934,NA,NA,NA,NA
"extrasensory.a.01.extrasensory.1934.1",extrasensory,extrasensory.a.01,1934,NA,NA,NA,NA
"chute.v.01.jump.1934.1",jump,chute.v.01,1934,NA,NA,NA,NA
"polyvalent.a.02.multivalent.1934.1",multivalent,polyvalent.a.02,1934,NA,NA,NA,NA
"forbid.v.01.nix.1934.1",nix,forbid.v.01,1934,NA,NA,NA,NA
"overcharge.v.01.rob.1934.1",rob,overcharge.v.01,1934,0,0,0,0
"bathetic.s.01.schmaltzy.1934.1",schmaltzy,bathetic.s.01,1934,NA,NA,NA,NA
"stereotyped.s.01.stereotyped.1934.1",stereotyped,stereotyped.s.01,1934,NA,NA,NA,NA
"wallpaper.v.01.wallpaper.1934.1",wallpaper,wallpaper.v.01,1934,NA,NA,NA,NA
"make.v.49.wee.1934.1",wee,make.v.49,1934,0,0,0,NA
"piquant.s.01.zesty.1934.1",zesty,piquant.s.01,1934,NA,NA,NA,NA
"crisp.s.01.crisp.1936.1",crisp,crisp.s.01,1936,NA,NA,NA,NA
"decode.v.01.decrypt.1936.1",decrypt,decode.v.01,1936,NA,NA,NA,NA
"hapless.s.01.pathetic.1936.1",pathetic,hapless.s.01,1936,1,1,1,1
"defame.v.01.smear.1936.1",smear,defame.v.01,1936,NA,NA,NA,NA
"ache.v.02.yen.1936.1",yen,ache.v.02,1936,NA,NA,NA,NA
"dilute.v.01.cut.1938.1",cut,dilute.v.01,1938,1,1,0,0
"edit.v.03.cut.1938.1",cut,edit.v.03,1938,NA,NA,NA,NA
"recover.v.04.recoup.1938.1",recoup,recover.v.04,1938,NA,NA,NA,NA
"dipped.s.01.swayback.1938.1",swayback,dipped.s.01,1938,NA,NA,NA,NA
"accept.v.02.take.1938.1",take,accept.v.02,1938,1,1,0,1
"consume.v.02.take.1938.1",take,consume.v.02,1938,1,1,1,NA
"take.v.35.take.1938.1",take,take.v.35,1938,NA,NA,NA,NA
"trip.v.04.trigger.1938.1",trigger,trip.v.04,1938,1,0,0,0
"fly.v.01.wing.1938.1",wing,fly.v.01,1938,NA,NA,NA,NA
"burp.v.01.burp.1940.1",burp,burp.v.01,1940,NA,NA,NA,NA
"demagnetize.v.02.degauss.1940.1",degauss,demagnetize.v.02,1940,NA,NA,NA,NA
"attest.v.01.demonstrate.1940.1",demonstrate,attest.v.01,1940,1,1,0,1
"drop_the_ball.v.01.goof.1940.1",goof,drop_the_ball.v.01,1940,NA,NA,NA,NA
"boiled.s.01.poached.1940.1",poached,boiled.s.01,1940,NA,NA,NA,NA
"read.v.08.register.1940.1",register,read.v.08,1940,1,0,0,0
"record.v.04.register.1940.1",register,record.v.04,1940,NA,NA,NA,NA
"automatic.s.02.robotic.1940.1",robotic,automatic.s.02,1940,NA,NA,NA,NA
"brassy.s.02.tatty.1940.1",tatty,brassy.s.02,1940,NA,NA,NA,NA
"burp.v.01.bubble.1942.1",bubble,burp.v.01,1942,NA,NA,NA,NA
"obscure.v.01.fog.1942.1",fog,obscure.v.01,1942,1,1,1,1
"iron.v.01.iron.1942.1",iron,iron.v.01,1942,0,0,0,NA
"chew_the_fat.v.01.natter.1942.1",natter,chew_the_fat.v.01,1942,NA,NA,NA,NA
"woo.v.02.romance.1942.1",romance,woo.v.02,1942,0,0,0,NA
"dirty.v.01.soil.1942.1",soil,dirty.v.01,1942,1,1,1,NA
"divide.v.01.split.1942.1",split,divide.v.01,1942,1,0,0,0
"separate.v.08.split.1942.1",split,separate.v.08,1942,1,1,1,1
"separate.v.09.split.1942.1",split,separate.v.09,1942,1,1,1,1
"substitute.v.02.sub.1942.1",sub,substitute.v.02,1942,0,0,0,NA
"roll.v.12.swan.1942.1",swan,roll.v.12,1942,1,0,0,0
"desalinate.v.01.desalt.1944.1",desalt,desalinate.v.01,1944,NA,NA,NA,NA
"monitor.v.01.monitor.1944.1",monitor,monitor.v.01,1944,NA,NA,NA,NA
"snog.v.01.snog.1944.1",snog,snog.v.01,1944,NA,NA,NA,NA
"spinnable.s.02.spinnbar.1944.1",spinnbar,spinnable.s.02,1944,NA,NA,NA,NA
"burp.v.01.bubble.1946.1",bubble,burp.v.01,1946,NA,NA,NA,NA
"burglarize.v.01.burglarize.1946.1",burglarize,burglarize.v.01,1946,NA,NA,NA,NA
"read.v.08.register.1946.1",register,read.v.08,1946,1,0,0,0
"record.v.04.register.1946.1",register,record.v.04,1946,NA,NA,NA,NA
"short-run.s.01.short-run.1946.1",short-run,short-run.s.01,1946,NA,NA,NA,NA
"model.v.05.simulate.1946.1",simulate,model.v.05,1946,NA,NA,NA,NA
"cheerful.s.02.upbeat.1946.1",upbeat,cheerful.s.02,1946,NA,NA,NA,NA
"affluent.s.01.loaded.1948.1",loaded,affluent.s.01,1948,0,0,0,0
"motivative.s.01.motivative.1948.1",motivative,motivative.s.01,1948,NA,NA,NA,NA
"oscillatory.s.01.oscillatory.1948.1",oscillatory,oscillatory.s.01,1948,NA,NA,NA,NA
"iridescent.s.02.pearlescent.1948.1",pearlescent,iridescent.s.02,1948,NA,NA,NA,NA
"good.s.12.ripe.1948.1",ripe,good.s.12,1948,1,1,1,1
"traumatize.v.01.traumatize.1948.1",traumatize,traumatize.v.01,1948,NA,NA,NA,NA
"confused.s.03.disoriented.1950.1",disoriented,confused.s.03,1950,NA,NA,NA,NA
"plagiarize.v.01.lift.1950.1",lift,plagiarize.v.01,1950,NA,NA,NA,NA
